,price,model_year,manufacturer,model,date_posted,days_listed,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,age
366,34275,2018,jeep,wrangler,2018-12-23,11,good,6.0,gas,27403,automatic,SUV,black,1.0,6
367,11675,2012,gmc,acadia,2018-11-16,39,good,6.0,gas,113417,automatic,SUV,white,1.0,12
368,24995,2016,subaru,outback,2018-11-06,48,good,6.0,gas,32889,automatic,SUV,grey,1.0,8
372,15900,2011,jeep,wrangler,2018-07-04,61,good,6.0,gas,163943,automatic,SUV,black,1.0,13
374,4975,2010,ford,explorer,2018-08-09,108,good,6.0,gas,55486,automatic,SUV,blue,1.0,14
375,5500,2001,nissan,frontier,2019-01-20,11,good,6.0,gas,125000,manual,pickup,black,1.0,23
377,19500,2010,ford,f-150,2019-01-16,52,good,8.0,gas,64200,automatic,truck,custom,1.0,14
378,24998,2006,chevrolet,silverado 2500hd,2019-04-05,94,excellent,8.0,diesel,181787,automatic,truck,black,1.0,18
379,6995,2011,nissan,rogue,2018-11-11,23,excellent,4.0,gas,118802,automatic,SUV,blue,1.0,13
385,27995,2017,chevrolet,silverado 1500,2018-07-23,42,excellent,8.0,gas,72965,automatic,truck,black,1.0,7
388,10995,2007,chevrolet,tahoe,2018-11-09,24,good,8.0,gas,162999,automatic,SUV,grey,1.0,17
389,11995,2012,chevrolet,suburban,2018-05-06,35,good,8.0,gas,163100,automatic,SUV,other,1.0,12
390,19500,2014,ford,f-150,2018-09-06,84,excellent,6.0,gas,95000,automatic,truck,blue,1.0,10
391,8600,2013,kia,sorento,2018-10-12,7,good,4.0,gas,110367,automatic,SUV,blue,1.0,11
398,14900,2008,jeep,wrangler,2019-01-06,18,good,6.0,gas,149167,automatic,SUV,custom,1.0,16
400,22975,2012,ram,2500,2019-01-24,34,excellent,6.0,diesel,119546,automatic,pickup,white,1.0,12
401,9500,2005,jeep,wrangler,2019-03-18,32,excellent,6.0,gas,151000,automatic,SUV,silver,1.0,19
412,9950,2009,bmw,x5,2018-11-12,30,excellent,6.0,gas,105621,automatic,SUV,silver,1.0,15
417,21900,2017,jeep,wrangler unlimited,2018-06-07,15,good,6.0,gas,37873,manual,SUV,blue,1.0,7
422,14900,2017,nissan,frontier,2018-09-01,30,good,6.0,gas,25462,automatic,pickup,grey,1.0,7
426,12900,2017,nissan,frontier,2019-03-01,9,good,6.0,gas,34096,automatic,pickup,black,1.0,7
430,8995,2014,chevrolet,equinox,2019-01-10,6,excellent,6.0,gas,178490,automatic,SUV,silver,1.0,10
434,47995,2018,jeep,wrangler unlimited,2018-05-07,21,good,6.0,gas,22824,manual,SUV,black,1.0,6
438,16499,2014,jeep,cherokee,2019-03-23,27,excellent,6.0,gas,117357,automatic,SUV,blue,1.0,10
445,13500,2004,gmc,sierra 2500hd,2018-10-09,37,excellent,8.0,gas,177000,automatic,truck,grey,1.0,20
447,5500,2005,ram,2500,2019-02-07,39,good,8.0,gas,211000,automatic,pickup,white,1.0,19
